Exit Code	Error message	Map	Action Sequence
REJECTION	"**** No player is set
"	"WWWWWWW
W0000WW
W00M00F
W0W0000
WF00F0W
WWWMWFW
"	SELDDDRDE
CRASH	""	"WWWWWWW
W00000W
W00F00W
W0P000W
W000F0W
WWWWWWW
"	SDWWRUE
REJECTION	"**** No player is set
"	"WWWWWWW
W00W00W
W00M00W
W0M000W
0000F0W
WWWWWWF
"	SEDLDRUQE
REJECTION	"**** No player is set
"	"WWWWWWW
000000W
000M00W
WMM000W
W000F0W
WWWWWW0
"	SRUUDWRWE
REJECTION	"**** No player is set
"	"WWWWFWW
W00F0MW
W00M0FW
W0M000W
W000F0W
WWWWWWF
"	SDUDDLWWE
REJECTION	"**** No player is set
"	"WWFFWMM
W00000W
W00M00W
W0M00FW
WW00F0W
WWWW0WW
"	SLDRDRULE
REJECTION	"**** No player is set
"	"WFMWWWW
W0WF00W
W00M00W
W0F000W
WF00F0W
WWWFWWW
"	SUDRRLE
REJECTION	"**** No food
"	"WWMWWWW
W00000W
W00W00W
W0P000W
W000W0W
WWWW00W
"	SURDDRQRE
REJECTION	"**** No player is set
"	"WWWFWWW
W00FW0W
WW0M00W
WMM000W
W000F0W
WWWWWWW
"	SUDURRE
REJECTION	"**** No food
"	"WWWWWWW
W00000W
WW0M00W
W0P000M
W000M0W
WWWWWWW
"	SUDDQQRWE
REJECTION	"**** No player is set
"	"WWWWWWW
W00000W
F00M00W
M0W000F
WM0FF0W
WWMWWWF
"	SUSDRQE
REJECTION	"**** No player is set
"	"0WWWWWW
W00000W
WF0M00W
FM0000W
WF00F0W
WWWWWM0
"	SREQRWE
REJECTION	"**** No player is set
"	"WWWWWWW
WM0F00W
W00MW0W
W0W000F
W000F0W
WWWWWWW
"	SUUERWE
CRASH	""	"WWWWWWM
WM0W0MW
W00MM0W
W0PF00W
W000F0W
WWWWWWW
"	SDWDRRRWE
REJECTION	"**** No food
"	"WWWWWWW
W00000W
W00M00W
W0P000W
W000W0W
WWWWWWW
"	SDDDQRRWE
CRASH	""	"WWWWMFW
W00000M
W00M00W
W0P00WW
W000F0W
0WWWWWW
"	SUWDDWSWE
REJECTION	"**** No player is set
"	"WWWWWWW
W0FM00W
W00MW0W
WMW000W
WF00F0W
WWWWWWW
"	SUDDRRE
REJECTION	"**** No player is set
"	"WWFWWWW
W00000W
W00M00W
W0M0M0W
W000FFW
WWMWWWW
"	SUDRRWE
REJECTION	"**** No player is set
"	"WWWWW00
W00000W
W0FM00W
W0M00WW
W00WF0W
WWMWWWW
"	SSDDQRE
REJECTION	"**** No player is set
"	"WWWWWW0
W00M0FW
W00M00W
W00000M
W000F0W
WWWWWWW
"	SUSDUSRWE
REJECTION	"**** No food
"	"WWWWWWW
W00000W
W00M00W
W0P000W
W000M0W
WW0WWWW
"	SSDDELE
REJECTION	"**** No player is set
"	"0FWWWWW
WWF000W
W00000W
W0F000W
W00000F
WFWWWWW
"	SRLDRRRSE
REJECTION	"**** No player is set
"	"WWWWWWW
W0WW00F
W00000W
W0M000W
W000F0W
WWWWWWM
"	SULRRLRWE
REJECTION	"**** No player is set
"	"WWWWWWW
W00000W
W00M00W
W000000
W000F0W
WWWWWWW
"	SELDDSRWE
REJECTION	"**** No food
"	"WWWWWWW
W00000W
W00M00W
00P000W
W00000W
WWWWWWW
"	SULDDEUWE
REJECTION	"**** No player is set
"	"WWWWWWW
WW000FW
W00M00W
00WF00W
W000F0W
WWWWWWW
"	SUDQRWE
REJECTION	"**** No player is set
"	"WWWWWWM
W0F000W
W00M00W
00W000F
W000F0W
0WWWWWW
"	SSLQDRRWE
REJECTION	"**** No player is set
"	"WWWWWWW
WF0000W
W00M00W
WF0000W
W000F0W
WWWWWMW
"	SLUDRDE
REJECTION	"**** No player is set
"	"WWWWWFW
W00000W
W00000W
W0M0W0W
F000FMW
WWWWWWW
"	SRUQDRRWE
REJECTION	"**** No player is set
"	"FWWWMWW
W00000W
WF0M00W
W0W000W
WW00F0W
WWWWWWW
"	SDDUREE
REJECTION	"**** No player is set
"	"WWWWWWW
W00000W
F00W00W
00F0F0W
W000F0W
WWWWWWW
"	SUDDWDRWE
REJECTION	"**** No food
"	"WWWWW0W
W00000W
W00M00W
W0P000W
W000W0W
MWMWWWW
"	SWQEDWE
REJECTION	"**** No player is set
"	"WWWWWWW
W00000W
W00M00F
W0F000W
W000F0W
WFW0WWW
"	SULDRWE
CRASH	""	"WWWFWWM
WM0000W
W00M00W
W0P000W
W000F0W
0WWWWWW
"	SDDWSWE
